,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_str,test
51,0.73900002,ECU,2,7259.52,15.774999618530268,6.199999809265138,3.6465516090393066,5.246870040893555,83.0124282836914,LatAm,
62,0.76800001,GEO,1,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594,EastEurope,
107,0.85299999,MLT,5,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562,WesternDem,
45,0.85399997,CYP,3,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156,NorthAfrica,
96,0.82800001,LVA,1,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125,EastEurope,
109,0.77899998,MUS,4,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469,SubSaharian,
7,0.82599998,ARG,2,15102.61,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562,LatAm,
127,0.94800001,NOR,5,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586,WesternDem,
58,0.89300001,FIN,5,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952,WesternDem,
31,0.64600003,CPV,4,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789,SubSaharian,
35,0.84500003,CHL,2,15519.08,17.81900024414063,3.2000000476837163,3.69163703918457,4.750120162963867,88.29785919189453,LatAm,
184,0.90799999,GBR,5,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078,WesternDem,
56,0.86299998,EST,1,19768.039,1.315999984741211,3.5,4.364778518676759,5.481639862060547,94.39128112792969,EastEurope,
113,0.70099998,MDA,1,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281,EastEurope,
135,0.73699999,PER,2,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969,LatAm,
59,0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548,WesternDem,
144,0.493,RWA,4,1440.39,10.19999980926514,7.5,4.0375962257385245,3.7974600791931152,27.23918914794922,SubSaharian,
86,0.79299998,KAZ,1,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548,EastEurope,
166,0.54100001,SWZ,4,4110.0498,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063,SubSaharian,
177,0.764,TUR,3,16900.711,77.69599914550781,3.7000000476837163,3.4221570491790767,4.766260147094727,87.16455078125,NorthAfrica,
20,0.75400001,BRA,2,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,LatAm,
93,0.58200002,LAO,7,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844,SouthEastAsia,
141,0.85500002,QAT,3,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586,NorthAfrica,
132,0.78500003,PAN,2,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953,LatAm,
94,0.76300001,LBN,3,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.5711901187896733,64.83651733398439,NorthAfrica,
121,0.92299998,NLD,5,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876,WesternDem,
